Date,Time,Direction,Entry,SL,TP,SL Pips,Lot,Exit,Exit Price,Candles,P&L (pips),P&L (USD)
2025-12-26,21:05,SELL,4525.07,4526.909000000001,4521.391999999998,183.9,0.02,SL,4526.909000000001,1,-183.9,-3.68
2025-12-29,21:05,SELL,4391.381,4403.196,4367.751000000001,1181.5,0.01,SL,4403.196,2,-1181.5,-11.81
2025-12-30,21:05,BUY,4387.256,4383.349999999999,4395.068000000002,390.6,0.01,SL,4383.349999999999,2,-390.6,-3.91
2025-12-31,21:05,SELL,4339.743,4341.405,4336.419000000002,166.2,0.02,TP,4336.419000000002,1,332.4,6.65
2026-01-02,21:05,SELL,4370.864,4372.860000000001,4366.871999999998,199.6,0.02,SL,4372.860000000001,3,-199.6,-3.99
2026-01-05,21:05,BUY,4423.441,4420.461,4429.400999999999,298.0,0.01,TP,4429.400999999999,3,596.0,5.96
2026-01-06,21:05,BUY,4471.484,4466.352,4481.748000000001,513.2,0.01,SL,4466.352,3,-513.2,-5.13
2026-01-07,21:05,SELL,4448.78,4453.953,4438.433999999998,517.3,0.01,TP,4438.433999999998,6,1034.6,10.35
2026-01-08,21:05,SELL,4423.787,4427.193,4416.975,340.6,0.01,SL,4427.193,1,-340.6,-3.41
2026-01-09,21:05,BUY,4487.016,4480.605,4499.838,641.1,0.01,TIME,4487.909,7,89.3,0.89
2026-01-12,21:05,SELL,4598.627,4604.575,4586.731000000002,594.8,0.01,TP,4586.731000000002,4,1189.6,11.9
2026-01-13,21:05,BUY,4614.37,4610.679999999999,4621.750000000001,369.0,0.01,TP,4621.750000000001,3,738.0,7.38
2026-01-14,21:05,SELL,4633.066,4637.6230000000005,4623.951999999998,455.7,0.01,SL,4637.6230000000005,3,-455.7,-4.56
2026-01-15,21:05,BUY,4595.804,4588.563999999999,4610.2840000000015,724.0,0.01,TP,4610.2840000000015,5,1448.0,14.48
2026-01-16,21:05,BUY,4603.859,4603.208,4605.161000000002,65.1,0.07,TP,4605.161000000002,1,130.2,9.11
2026-01-19,21:05,SELL,4662.783,4666.043000000001,4656.263,326.0,0.01,SL,4666.043000000001,2,-326.0,-3.26
2026-01-20,21:05,SELL,4737.193,4743.519,4724.541,632.6,0.01,SL,4743.519,2,-632.6,-6.33
2026-01-21,21:05,BUY,4864.61,4841.625,4910.579999999999,2298.5,0.01,SL,4841.625,1,-2298.5,-22.98
2026-01-22,21:05,SELL,4821.241,4826.070000000001,4811.582999999999,482.9,0.01,SL,4826.070000000001,2,-482.9,-4.83
2026-01-23,21:05,BUY,4942.659,4940.088,4947.8009999999995,257.1,0.01,TP,4947.8009999999995,1,514.2,5.14
